id,season,yr,mnth,hr,holiday,workingday,weathersit,temp,hum,windspeed,dayOfWeek,days,demand
45,3,1,8,17,0,1,1,0.82,0.41,0,Mon,578,858
46,1,0,12,9,0,0,1,0.24,0.87,0.1642,Sun,353,23
47,4,0,9,11,0,1,1,0.64,0.57,0.0896,Fri,267,217
48,3,1,7,14,0,1,1,0.8,0.49,0.2239,Mon,571,254
49,4,1,10,18,0,1,3,0.56,0.64,0.1045,Mon,634,613
50,2,0,4,18,0,0,1,0.64,0.69,0.1642,Sun,109,270
51,2,0,4,16,0,1,2,0.54,0.42,0.3582,Fri,114,299
52,4,0,10,19,0,0,1,0.54,0.52,0.3881,Sun,284,233
53,3,0,8,18,0,0,1,0.7,0.74,0.2239,Sat,220,292
54,4,1,10,22,0,0,1,0.38,0.87,0.1343,Sun,640,79
55,4,0,10,11,0,0,3,0.26,0.93,0.3881,Sat,296,27
56,4,0,11,17,0,1,1,0.5,0.34,0.1045,Fri,324,184
57,2,0,5,1,0,0,1,0.42,0.69,0.1045,Sun,116,59
58,1,1,12,19,0,0,1,0.34,0.61,0,Sun,722,102
59,4,1,11,16,0,1,1,0.38,0.4,0.2985,Tue,675,310
60,4,1,11,0,0,1,2,0.3,0.56,0.194,Mon,667,23
61,3,1,6,6,0,1,1,0.64,0.78,0.1642,Mon,536,158
62,3,1,8,17,0,0,1,0.88,0.37,0.2985,Sat,576,492
63,1,0,12,20,0,1,1,0.28,0.65,0.1045,Thr,358,96
64,3,1,8,12,0,1,2,0.8,0.55,0.1343,Tue,579,283
65,3,1,8,18,0,1,1,0.72,0.54,0.2239,Tue,593,625
66,1,1,1,21,0,1,3,0.34,0.87,0.2239,Wed,371,29
67,2,0,4,10,0,0,1,0.42,0.44,0.4478,Sun,102,211
68,3,1,7,22,0,1,1,0.8,0.49,0.6119,Thr,567,234
69,3,1,9,8,0,1,1,0.56,0.6,0.2836,Mon,613,730
70,2,0,5,9,0,1,2,0.54,0.88,0.2537,Tue,132,207
71,2,1,6,4,0,1,2,0.54,0.77,0.194,Mon,528,9
72,4,1,9,23,0,1,2,0.6,0.78,0.2537,Wed,629,115
73,1,1,2,11,0,1,1,0.36,0.46,0.194,Tue,397,129
74,2,1,6,4,0,1,1,0.46,0.82,0.1045,Wed,516,10
75,3,0,8,15,0,1,1,0.8,0.29,0.1642,Fri,219,249
76,3,1,7,6,0,1,1,0.64,0.89,0.1343,Wed,552,185
77,4,1,10,11,0,1,2,0.56,0.78,0.1642,Fri,659,290
78,1,0,1,20,0,1,1,0.18,0.74,0.0896,Thr,24,59
79,4,0,12,0,0,1,2,0.5,0.77,0.2985,Tue,334,28
80,3,1,7,2,0,1,1,0.74,0.66,0.1343,Wed,558,8
81,4,0,9,2,0,1,1,0.62,0.94,0.1045,Tue,264,11
82,1,0,1,0,0,0,1,0.04,0.57,0.1045,Sun,20,22
83,4,0,11,13,0,1,2,0.44,0.54,0.4925,Wed,321,174
84,2,0,5,20,0,1,1,0.58,0.64,0.1045,Fri,135,220
85,1,0,1,10,0,1,1,0.18,0.55,0.194,Fri,12,44
86,1,0,2,7,0,1,1,0.34,0.46,0.2985,Mon,41,98
87,4,0,11,3,0,0,1,0.24,0.7,0.1343,Sat,310,17
88,2,0,5,13,0,1,1,0.62,0.38,0.2836,Mon,124,174
89,1,0,2,18,0,1,1,0.34,0.42,0.5522,Wed,30,182
90,3,0,8,17,0,1,1,0.72,0.42,0.194,Tue,237,611
91,4,1,11,15,0,1,2,0.4,0.54,0.1642,Thr,663,214
92,2,0,4,11,0,1,2,0.64,0.78,0.2836,Wed,112,156
93,3,1,9,1,1,0,2,0.68,0.89,0.1642,Mon,605,55
94,3,1,6,4,0,0,2,0.64,0.83,0.1642,Sat,533,19
95,4,1,10,13,0,1,1,0.5,0.31,0.1045,Thr,644,291
96,4,0,12,8,0,1,3,0.44,1,0,Wed,335,86
97,3,1,7,21,0,1,2,0.7,0.7,0.2836,Tue,544,196
98,2,1,4,18,0,1,1,0.6,0.26,0.1642,Tue,453,800
99,3,0,7,18,0,0,1,0.86,0.41,0.2836,Sun,207,304
100,1,1,1,15,0,1,1,0.36,0.34,0.2836,Thr,364,119
101,4,1,10,19,0,0,2,0.52,0.72,0.2239,Sat,660,300
102,2,0,6,12,0,1,1,0.76,0.37,0.1642,Mon,152,153
103,3,1,7,21,0,1,1,0.72,0.54,0,Fri,554,299
104,4,1,9,11,0,0,1,0.56,0.52,0.2836,Sat,632,663
105,1,0,3,18,0,1,1,0.32,0.49,0.3284,Fri,66,153
106,3,0,8,19,0,1,1,0.7,0.3,0.2836,Mon,229,416
107,4,0,12,2,0,1,1,0.2,0.69,0,Mon,340,4
108,1,1,1,20,0,1,2,0.26,1,0.1642,Mon,382,169
109,1,1,3,13,0,1,1,0.58,0.32,0.2537,Thr,420,211
110,3,0,7,23,0,1,1,0.74,0.66,0.1642,Mon,195,91
111,1,1,12,11,1,0,1,0.3,0.75,0.0896,Tue,717,86
112,3,0,7,9,0,0,1,0.74,0.66,0.0896,Sun,186,169
113,1,1,2,3,0,1,1,0.12,0.54,0.1045,Mon,403,1
114,4,1,11,5,0,0,1,0.26,0.41,0.3284,Sat,686,3
115,2,1,5,4,0,1,2,0.52,0.68,0.3284,Tue,487,5
116,2,0,4,13,0,1,1,0.46,0.38,0.4925,Wed,91,112
117,4,0,11,2,0,1,2,0.36,0.81,0.1642,Tue,299,4
118,1,1,2,4,0,1,1,0.32,0.42,0.3582,Tue,418,2
119,4,0,9,12,0,0,2,0.66,0.78,0,Sun,262,413
120,1,0,2,14,0,1,1,0.22,0.37,0.4179,Tue,36,64
121,2,0,4,19,0,0,1,0.56,0.83,0.2836,Sat,108,283
122,4,0,12,0,0,1,1,0.26,0.75,0,Wed,342,22
123,2,0,4,16,0,1,2,0.76,0.35,0.3582,Wed,105,255
124,2,0,5,18,0,0,1,0.66,0.61,0.2239,Sun,137,358
125,3,0,8,0,0,1,1,0.68,0.65,0.1343,Thr,225,56
126,1,0,1,4,0,0,1,0.08,0.53,0.194,Sun,7,1
127,2,1,6,1,0,1,1,0.52,0.68,0,Wed,516,27
128,4,0,11,23,0,1,1,0.32,0.49,0.3284,Fri,303,89
129,3,0,6,3,0,0,1,0.64,0.57,0.194,Sat,171,39
130,2,1,4,4,0,0,2,0.44,0.77,0.1642,Sun,471,7
131,1,0,1,22,0,1,2,0.16,0.59,0.1045,Mon,28,34
132,1,0,2,22,0,1,1,0.12,0.39,0,Thr,38,51
133,4,0,11,12,0,1,1,0.32,0.33,0,Fri,316,165
134,3,0,7,22,0,1,1,0.7,0.84,0,Mon,202,125
135,1,0,2,22,0,1,1,0.26,0.48,0.4478,Fri,52,50
136,3,0,9,12,0,1,2,0.66,0.69,0.2239,Fri,240,260
137,1,1,1,12,0,1,1,0.42,0.38,0.2985,Tue,369,140
138,4,1,11,7,0,1,3,0.32,0.87,0.2537,Tue,675,107
139,2,0,4,11,0,1,1,0.32,0.61,0.3582,Fri,86,89
140,2,1,4,18,0,1,1,0.5,0.27,0.2537,Mon,452,618
141,2,0,6,12,0,0,1,0.82,0.46,0,Sun,158,420
142,4,0,10,18,0,0,1,0.44,0.54,0.0896,Sat,290,335
143,2,0,6,1,0,1,3,0.7,0.65,0.2239,Fri,156,23
144,3,0,9,21,0,1,2,0.5,0.63,0,Fri,254,163
145,2,1,6,4,0,1,2,0.62,0.73,0.0896,Fri,511,6
146,1,0,1,11,1,0,2,0.16,0.55,0.194,Mon,15,64
147,2,1,3,9,0,1,1,0.24,0.38,0.194,Tue,446,267
148,4,1,10,3,0,0,1,0.32,0.66,0.2239,Sat,645,15
149,3,1,8,3,0,0,2,0.64,0.89,0.2537,Sun,597,53
150,4,0,11,16,0,0,2,0.46,0.47,0.1343,Sat,325,275
151,3,1,9,5,0,1,2,0.7,0.84,0.194,Thr,609,38
152,2,0,5,19,0,1,1,0.6,0.69,0.2537,Tue,132,349
153,2,0,5,9,0,0,1,0.6,0.64,0.2239,Sat,136,225
154,3,1,8,0,0,1,1,0.68,0.79,0.1642,Wed,572,47
155,1,0,3,15,0,1,1,0.34,0.34,0,Tue,56,64
156,2,0,5,18,0,1,1,0.62,0.69,0.2239,Thr,127,527
157,1,1,3,22,0,1,2,0.56,0.73,0.1642,Mon,438,148
158,2,1,3,23,0,1,1,0.54,0.77,0,Wed,440,125
159,2,1,5,9,0,1,1,0.72,0.7,0.2537,Tue,509,257
160,3,0,8,17,0,0,1,0.76,0.4,0.2985,Sun,235,398
161,1,0,1,4,0,1,1,0.16,0.47,0.3881,Mon,2,1
162,3,0,7,15,0,1,1,0.84,0.53,0.3284,Mon,194,164
163,2,1,3,5,0,1,1,0.22,0.37,0.2836,Tue,446,17
164,3,0,7,8,0,1,2,0.72,0.74,0.2537,Fri,184,457
165,3,0,9,0,0,1,1,0.54,1,0,Wed,258,27
166,1,0,2,0,0,1,1,0.2,0.4,0.4478,Thr,30,12
167,2,0,6,18,0,0,1,0.7,0.58,0.1045,Sun,151,363
168,1,1,2,18,0,1,1,0.54,0.37,0.1343,Thr,413,522
169,4,1,10,0,0,1,3,0.64,0.89,0,Thr,636,76
170,1,0,1,18,0,1,1,0.22,0.51,0.1343,Thr,5,163
171,1,0,1,8,0,1,1,0.14,0.5,0.194,Thr,11,202
172,4,1,12,3,0,1,1,0.22,0.55,0.194,Thr,698,2
173,1,0,12,19,0,0,1,0.3,0.52,0.0896,Sat,353,25
174,4,1,11,11,0,1,1,0.36,0.29,0.3881,Thr,670,171
175,4,0,10,5,0,0,1,0.32,0.87,0.2836,Sun,269,7
176,1,0,2,13,0,0,3,0.22,1,0.1642,Sat,33,72
177,3,1,6,5,0,1,1,0.52,0.48,0.3881,Tue,537,39
178,1,1,12,17,0,1,1,0.24,0.6,0.1343,Fri,720,271
179,2,0,6,0,0,0,1,0.7,0.65,0,Sun,165,89
180,2,0,5,4,0,1,3,0.38,0.94,0.3284,Wed,119,3
181,1,1,12,8,0,1,1,0.14,0.69,0.1343,Mon,723,196
182,2,0,4,17,0,1,3,0.32,0.93,0.2537,Fri,93,148
183,2,1,4,1,0,1,1,0.36,0.46,0.194,Fri,462,30
184,1,1,3,2,0,1,1,0.5,0.59,0,Thr,433,19
185,2,1,5,5,0,1,1,0.46,0.77,0.1045,Fri,498,34
186,2,0,4,14,0,1,3,0.34,0.87,0.2537,Fri,107,36
187,4,0,12,3,0,0,1,0.22,0.55,0.2239,Sun,346,18
188,4,1,10,3,0,1,2,0.54,0.88,0.194,Tue,634,5
189,1,0,1,3,0,0,3,0.18,0.55,0.1642,Sat,6,7
190,1,0,2,15,0,1,1,0.56,0.21,0.6567,Mon,41,90
191,3,1,6,9,0,1,1,0.7,0.54,0.1642,Thr,539,351
192,1,0,2,0,0,1,3,0.32,0.93,0,Fri,51,9
193,1,1,1,22,0,1,2,0.2,0.92,0.1045,Mon,369,62
194,2,1,5,11,0,1,2,0.56,0.83,0.2239,Mon,494,79
195,3,1,8,5,0,1,1,0.6,0.78,0,Wed,594,40
196,1,1,3,1,0,1,1,0.3,0.61,0.2985,Wed,425,5
197,2,1,4,9,0,1,1,0.36,0.57,0.3582,Thr,462,287
198,1,1,3,21,0,1,2,0.44,0.94,0,Fri,435,152
199,3,1,9,18,0,0,3,0.58,0.83,0.1343,Sat,611,167
200,2,1,4,18,0,0,3,0.36,0.93,0.4478,Sun,472,39
201,4,1,11,5,0,1,1,0.2,0.8,0,Fri,692,40
202,1,0,2,8,0,1,1,0.38,0.4,0.4627,Mon,41,256
203,3,0,7,20,0,1,1,0.86,0.41,0.3284,Fri,205,206
204,4,1,10,22,1,0,3,0.4,0.76,0.2537,Mon,641,107
205,4,0,9,3,0,1,2,0.62,0.94,0,Mon,263,5
206,1,1,1,6,0,1,2,0.2,0.86,0,Mon,382,42
207,2,0,5,17,0,1,1,0.64,0.33,0,Tue,125,611
208,2,1,6,3,0,1,3,0.5,0.82,0.194,Tue,515,5
209,4,1,11,2,0,1,1,0.24,0.6,0.2985,Wed,676,1
210,2,0,3,7,0,1,1,0.2,0.59,0.3582,Fri,79,104
211,1,0,2,5,0,0,1,0.12,0.74,0.0896,Sat,39,1
212,4,0,11,17,0,1,3,0.38,0.71,0.3881,Wed,322,163
213,1,1,2,18,0,1,1,0.4,0.43,0.4627,Thr,392,410
214,3,1,7,13,0,1,1,0.8,0.49,0.1642,Mon,571,226
215,4,0,11,17,1,0,1,0.48,0.33,0.1045,Thr,323,74
216,3,1,7,13,0,0,2,0.7,0.65,0.0896,Sun,563,626
217,4,0,11,2,0,0,1,0.24,0.65,0.0896,Sat,310,46
218,3,1,7,15,0,1,1,0.86,0.41,0.2239,Fri,568,323
219,3,1,7,15,1,0,1,0.92,0.35,0.2985,Wed,545,454
220,4,1,9,3,0,1,1,0.42,0.71,0.0896,Tue,627,5
221,2,1,3,17,0,1,1,0.6,0.6,0.2239,Wed,447,604
222,3,1,8,9,0,1,1,0.64,0.69,0,Tue,593,328
223,1,0,1,17,0,0,1,0.22,0.37,0.2537,Sun,15,105
224,1,1,2,20,0,1,1,0.32,0.36,0,Thr,399,199
225,1,1,2,8,0,1,1,0.2,0.64,0.2537,Thr,399,484
226,3,1,6,1,0,1,1,0.74,0.51,0.1642,Fri,539,42
227,1,1,1,17,0,1,2,0.2,0.4,0.194,Wed,363,281
228,2,1,5,7,0,0,1,0.62,0.88,0.1642,Sun,507,52
229,2,1,5,5,0,1,1,0.46,0.88,0.1045,Mon,487,23
230,2,1,3,20,0,0,1,0.48,0.77,0.2239,Sun,444,259
231,1,0,3,23,0,1,1,0.26,0.3,0.5224,Wed,57,22
232,1,1,3,9,0,1,2,0.22,0.6,0.0896,Mon,424,197
233,3,1,9,19,0,0,1,0.66,0.36,0.2537,Sun,612,496
234,1,1,12,3,0,0,1,0.2,0.51,0.1343,Sun,715,9
235,1,0,2,4,0,1,1,0.22,0.37,0.5224,Tue,42,1
236,2,0,5,16,0,0,2,0.5,0.72,0.194,Sun,116,214
237,2,0,5,1,0,0,2,0.5,0.88,0.1343,Sat,129,82
238,3,1,7,0,0,1,3,0.66,0.89,0.0896,Fri,560,34
239,3,1,9,10,0,1,1,0.64,0.61,0.0896,Thr,616,212
240,3,0,7,12,0,1,1,0.96,0.31,0.2836,Fri,205,135
241,3,0,8,5,0,1,1,0.68,0.61,0.0896,Wed,217,32
242,1,0,12,14,0,1,1,0.32,0.39,0.3881,Wed,356,120
243,3,1,9,20,0,1,1,0.58,0.56,0.1343,Tue,614,461
244,4,1,10,15,0,0,1,0.56,0.35,0.3284,Sun,654,623
245,4,0,10,2,0,1,3,0.46,0.94,0,Thr,294,8
246,3,0,7,11,0,0,1,0.9,0.37,0.194,Sat,199,216
247,2,1,4,1,0,1,3,0.42,0.77,0.1045,Thr,468,13
248,2,0,6,13,0,0,1,0.78,0.59,0.2836,Sun,158,373
249,2,0,6,7,0,1,1,0.56,0.56,0.3582,Mon,159,328
250,2,1,4,0,0,0,1,0.38,0.43,0.1642,Sat,477,103
251,4,1,12,13,0,0,1,0.38,0.54,0.2537,Sat,707,456
252,2,0,3,10,0,1,2,0.34,0.81,0.2836,Wed,77,75
253,1,1,12,5,0,1,1,0.24,0.75,0.1642,Thr,719,11
254,4,0,10,18,0,1,1,0.4,0.66,0.0896,Mon,299,422
255,2,0,5,13,0,0,1,0.62,0.73,0.2836,Sun,130,456
256,3,1,9,2,0,1,1,0.62,0.83,0.0896,Fri,609,11
257,3,1,8,12,0,1,2,0.76,0.45,0.0896,Fri,596,371
258,4,0,10,13,0,1,3,0.54,0.88,0.2239,Wed,279,101
259,4,1,12,14,0,1,2,0.38,0.5,0.2239,Tue,703,204
260,1,1,12,19,0,0,2,0.3,0.61,0.2537,Sat,721,97
261,4,1,9,21,0,1,1,0.5,0.51,0.1343,Mon,627,256
262,1,0,2,7,0,1,2,0.42,0.77,0.2239,Fri,45,116
263,1,0,1,21,0,0,2,0.24,0.7,0.1642,Sun,27,28
264,1,0,3,16,0,1,2,0.38,0.46,0.3284,Tue,70,114
265,4,0,10,18,0,1,3,0.54,0.94,0.1343,Wed,280,172
266,3,0,7,22,0,1,1,0.66,0.57,0.2239,Fri,192,223
267,2,1,6,13,0,1,1,0.86,0.44,0.1045,Wed,531,211
268,1,1,2,12,0,1,1,0.4,0.37,0.2985,Mon,417,177
269,2,1,4,16,0,1,1,0.6,0.2,0.3284,Wed,475,376
270,1,1,3,22,0,1,1,0.56,0.49,0.3284,Thr,427,153
271,2,0,4,6,0,0,1,0.26,0.7,0.1045,Sat,87,12
272,3,0,8,2,0,1,1,0.66,0.69,0,Wed,224,6
273,4,1,11,4,0,0,1,0.26,0.41,0.4478,Sat,686,3
274,1,1,2,2,0,0,1,0.3,0.61,0.2537,Sat,408,45
275,4,0,11,5,0,0,1,0.24,0.87,0.1343,Sun,304,5
276,3,0,9,22,0,1,3,0.62,0.94,0.1642,Wed,245,29
277,2,1,4,2,0,0,1,0.36,0.43,0.1642,Sat,477,57
278,3,1,7,17,0,1,1,0.86,0.41,0.2836,Fri,568,699
279,1,1,3,19,0,1,2,0.56,0.49,0.2239,Mon,431,446
280,3,1,8,5,0,1,1,0.62,0.83,0,Thr,595,37
281,2,1,4,14,0,1,2,0.54,0.77,0.194,Thr,476,169
282,4,0,10,22,1,0,1,0.56,0.88,0.0896,Mon,278,126
283,1,0,1,13,0,0,2,0.22,0.55,0.1642,Sat,26,65
284,4,1,10,0,1,0,1,0.38,0.76,0.2836,Mon,640,51
285,2,1,5,16,0,1,1,0.72,0.51,0.1642,Wed,510,398
286,2,0,5,10,0,1,1,0.56,0.52,0.194,Mon,124,119
287,4,0,12,17,0,1,2,0.32,0.45,0.2836,Fri,345,365
288,1,1,2,10,0,1,1,0.34,0.57,0.2985,Wed,405,120
289,1,1,3,22,0,1,1,0.34,0.31,0.4925,Fri,428,107
290,2,0,6,4,0,1,1,0.56,0.94,0.1045,Mon,152,8
291,4,1,9,3,0,1,2,0.58,0.64,0.2836,Wed,628,10
292,4,0,12,19,0,1,2,0.46,0.77,0,Mon,334,308
293,1,1,3,14,0,1,2,0.6,0.73,0.1642,Tue,439,248
294,4,1,9,20,0,1,2,0.64,0.69,0.2239,Thr,630,457
295,4,1,9,15,0,1,1,0.6,0.31,0,Mon,627,300
296,4,0,12,14,0,1,1,0.4,0.37,0.2537,Tue,341,134
297,1,0,1,12,0,1,1,0.2,0.47,0.5821,Wed,11,55
298,3,0,7,5,0,1,1,0.7,0.79,0.0896,Tue,188,25
299,2,1,6,5,0,1,3,0.52,0.83,0.1343,Mon,529,23
300,1,1,1,19,0,1,2,0.42,0.71,0.1642,Thr,371,330
301,2,1,4,20,0,1,1,0.44,0.33,0.2537,Thr,462,280
302,1,1,1,18,0,1,2,0.24,0.93,0.1343,Mon,382,282
303,3,0,7,3,0,1,1,0.6,0.73,0.194,Fri,191,7
304,3,1,8,6,0,0,1,0.72,0.79,0.2537,Sun,577,19
305,3,0,9,20,0,1,3,0.54,0.88,0.2985,Tue,244,163
306,2,0,6,20,0,1,1,0.64,0.44,0.2537,Mon,159,331
307,3,0,9,0,0,1,1,0.64,0.65,0.194,Fri,239,64
308,1,1,2,6,0,1,2,0.28,0.96,0.1343,Fri,407,71
309,1,0,12,14,0,0,1,0.46,0.51,0.3284,Sat,359,300
310,2,1,6,6,0,1,2,0.64,0.89,0.0896,Wed,531,165
311,3,1,7,12,0,1,1,0.78,0.35,0.1343,Thr,553,292
312,2,0,5,21,0,1,1,0.54,0.88,0.2537,Tue,132,174
313,1,1,12,7,0,0,2,0.26,0.7,0.1343,Sat,721,18
314,2,0,4,17,0,1,3,0.32,0.93,0.2239,Fri,107,69
315,2,1,5,2,0,1,2,0.46,0.88,0.1343,Thr,482,17
316,2,0,4,20,0,0,3,0.44,0.94,0.2239,Sat,101,53
317,1,0,2,13,0,1,2,0.2,0.86,0,Tue,29,52
318,4,0,11,0,0,1,2,0.46,0.94,0,Mon,319,17
319,2,0,5,8,0,0,1,0.52,0.52,0.194,Sat,122,115
320,3,1,7,18,0,0,1,0.82,0.43,0.2836,Sat,569,481
321,3,1,7,4,0,1,1,0.66,0.74,0.194,Thr,566,4
322,3,0,7,4,0,1,2,0.68,0.83,0.0896,Wed,182,6
323,1,1,1,22,0,1,1,0.44,0.35,0.2985,Tue,391,129
324,3,1,8,7,0,1,1,0.66,0.83,0,Mon,599,433
325,4,0,12,10,0,1,2,0.36,0.87,0.0896,Mon,333,87
326,2,1,5,16,0,1,1,0.66,0.34,0.2537,Fri,498,568
327,2,1,5,13,0,1,2,0.64,0.53,0.2537,Wed,489,266
328,3,0,8,12,0,1,1,0.7,0.39,0.0896,Tue,230,237
329,4,1,10,1,0,1,2,0.46,0.88,0,Wed,642,8
330,4,1,9,21,0,0,2,0.52,0.48,0.1045,Sun,626,196
331,2,0,5,18,0,1,1,0.6,0.73,0.2239,Wed,133,489
332,1,0,2,8,0,1,1,0.24,0.7,0.2239,Thr,51,252
333,1,1,2,3,0,1,2,0.3,0.61,0,Thr,406,1
334,3,1,7,2,0,1,2,0.66,0.89,0.0896,Fri,560,19
335,4,1,9,14,0,0,1,0.62,0.41,0.2537,Sun,633,612
336,3,0,8,0,0,0,1,0.66,0.78,0.194,Sat,213,133
337,3,0,9,6,0,0,1,0.62,0.73,0.1642,Sat,240,23
338,2,0,3,9,0,1,2,0.34,0.81,0.3284,Mon,75,127
339,4,0,11,14,0,1,3,0.42,1,0.0896,Tue,320,35
340,4,0,9,21,0,1,1,0.64,0.89,0.1343,Mon,264,182
341,4,1,12,15,0,1,1,0.42,0.5,0.2836,Wed,711,237
342,2,1,6,10,0,0,1,0.6,0.53,0.2985,Sat,513,493
343,1,0,2,15,0,1,1,0.22,0.37,0.3284,Thr,31,60
344,2,1,4,19,0,0,1,0.6,0.23,0.3881,Sun,458,276
345,4,0,12,0,0,0,1,0.2,0.75,0.1343,Sun,346,71
346,3,0,8,9,0,1,1,0.76,0.48,0.2239,Wed,217,180
347,1,0,3,15,0,1,2,0.4,0.76,0.2537,Wed,70,101
348,2,1,5,4,0,1,2,0.46,0.88,0.1343,Mon,486,2
349,2,0,3,17,0,1,2,0.32,0.36,0.3582,Fri,79,225
350,3,0,9,21,0,1,2,0.66,0.65,0.2239,Wed,252,213
351,3,1,9,22,0,1,1,0.6,0.69,0.1343,Thr,616,251
352,4,1,11,14,1,0,1,0.48,0.29,0,Thr,684,220
353,4,1,11,15,0,1,1,0.34,0.46,0.2537,Tue,668,272
354,2,0,4,15,0,1,1,0.7,0.65,0.4925,Wed,112,138
355,2,1,6,4,0,1,2,0.6,0.56,0.2537,Thr,524,6
356,4,0,10,13,0,1,2,0.64,0.83,0.1642,Thr,280,162
357,3,0,8,20,0,0,1,0.7,0.79,0.2537,Sun,228,181
358,1,1,12,23,0,0,2,0.26,0.6,0,Sat,722,32
359,2,1,5,15,0,0,2,0.7,0.39,0.4179,Sun,500,502
360,2,0,4,16,0,1,2,0.32,0.93,0.2537,Fri,93,60
361,3,0,9,21,0,0,2,0.5,0.72,0.194,Sat,255,170
362,1,0,12,23,0,1,1,0.32,0.66,0.1343,Fri,352,25
363,1,0,2,17,0,1,3,0.36,0.66,0.194,Thr,51,177
364,1,1,1,12,0,1,2,0.5,0.88,0.1642,Fri,386,180
365,4,1,11,1,0,1,1,0.24,0.7,0.0896,Fri,692,19
366,2,0,4,2,0,0,1,0.5,0.88,0.194,Sun,109,72
367,3,1,8,3,0,1,1,0.62,0.73,0.1045,Wed,600,9
368,2,1,6,9,0,1,1,0.62,0.65,0.1642,Fri,526,366
369,4,0,12,6,0,1,1,0.2,0.8,0,Tue,341,92
370,3,0,8,18,0,0,1,0.72,0.74,0.0896,Sun,214,229
371,3,1,7,16,0,1,1,0.92,0.29,0.1045,Fri,547,369
372,4,0,11,2,0,1,2,0.42,0.82,0.2239,Thr,315,5
373,4,1,12,0,0,1,2,0.38,0.87,0,Mon,709,28
374,4,0,10,7,0,1,1,0.36,0.71,0.1642,Fri,288,233
375,3,0,8,9,0,1,2,0.66,0.44,0,Tue,230,225
376,1,1,1,20,0,1,1,0.4,0.58,0.1045,Tue,390,238
377,3,1,8,10,0,1,1,0.74,0.55,0.1642,Fri,589,231
378,4,0,10,12,0,1,2,0.6,0.73,0.1642,Tue,278,181
379,1,1,3,21,0,1,1,0.56,0.73,0,Tue,439,277
380,2,1,4,12,0,1,1,0.42,0.35,0.2985,Fri,456,337
